ssid,rate,classifier,bin,simulated,estimated,error
8c689128-8483-4ce5-9b67-8cb160550497,0.0026140191760737268,multiplex,3,0.08979634056336927,0.08961540646505628,-5.1172062128512774e-05
8c689128-8483-4ce5-9b67-8cb160550497,0.0026140191760737268,multiplex,4,0.08979634056336927,0.08961540646505628,0.00018093409831299034
b7e78bf9-30a3-4955-9469-0bbd77310476,0.005022469449004313,multiplex,0,0.08979634056336927,0.08935785538906056,-1.7719580872763176e-05
b7e78bf9-30a3-4955-9469-0bbd77310476,0.005022469449004313,multiplex,1,0.08979634056336927,0.08935785538906056,-3.132057096845052e-05
b7e78bf9-30a3-4955-9469-0bbd77310476,0.005022469449004313,multiplex,2,0.08979634056336927,0.08935785538906056,-0.0002497908492072416
b7e78bf9-30a3-4955-9469-0bbd77310476,0.005022469449004313,multiplex,3,0.08979634056336927,0.08935785538906056,-0.00013965417321282203
b7e78bf9-30a3-4955-9469-0bbd77310476,0.005022469449004313,multiplex,4,0.08979634056336927,0.08935785538906056,0.0004384851743087087
9442e6ea-8033-44b2-b0f3-91470348a7f0,0.006930104080448791,multiplex,0,0.08979634056336927,0.0890870280999247,-2.9780630356241017e-05
9442e6ea-8033-44b2-b0f3-91470348a7f0,0.006930104080448791,multiplex,1,0.08979634056336927,0.0890870280999247,-6.578478405475032e-05
9442e6ea-8033-44b2-b0f3-91470348a7f0,0.006930104080448791,multiplex,2,0.08979634056336927,0.0890870280999247,-0.00039389029426032014
9442e6ea-8033-44b2-b0f3-91470348a7f0,0.006930104080448791,multiplex,3,0.08979634056336927,0.0890870280999247,-0.0002198567547276875
9442e6ea-8033-44b2-b0f3-91470348a7f0,0.006930104080448791,multiplex,4,0.08979634056336927,0.0890870280999247,0.0007093124634445641
156d68c8-abcd-439a-a387-71b3708652ff,0.009601136452099902,multiplex,0,0.08979634056336927,0.08870610079575206,-5.643551651679366e-05
156d68c8-abcd-439a-a387-71b3708652ff,0.009601136452099902,multiplex,1,0.08979634056336927,0.08870610079575206,-0.0001280397375413298
156d68c8-abcd-439a-a387-71b3708652ff,0.009601136452099902,multiplex,2,0.08979634056336927,0.08870610079575206,-0.0005862156828818233
156d68c8-abcd-439a-a387-71b3708652ff,0.009601136452099902,multiplex,3,0.08979634056336927,0.08870610079575206,-0.0003195488306317329
156d68c8-abcd-439a-a387-71b3708652ff,0.009601136452099902,multiplex,4,0.08979634056336927,0.08870610079575206,0.0010902397676172126
7d4caa7a-5b9c-4b47-af6a-0217ce344f6a,0.013483866722723161,multiplex,0,0.08979634056336927,0.08791706734956643,-0.00010654605284892401
7d4caa7a-5b9c-4b47-af6a-0217ce344f6a,0.013483866722723161,multiplex,1,0.08979634056336927,0.08791706734956643,-0.00026853550445828816
7d4caa7a-5b9c-4b47-af6a-0217ce344f6a,0.013483866722723161,multiplex,2,0.08979634056336927,0.08791706734956643,-0.0009785146154674398
7d4caa7a-5b9c-4b47-af6a-0217ce344f6a,0.013483866722723161,multiplex,3,0.08979634056336927,0.08791706734956643,-0.0005256770409807765
7d4caa7a-5b9c-4b47-af6a-0217ce344f6a,0.013483866722723161,multiplex,4,0.08979634056336927,0.08791706734956643,0.0018792732138028373
a362969d-fe30-497a-a2ec-42bc0119f398,0.016095562080487544,multiplex,0,0.08979634056336927,0.08716778823793142,-0.00014771551350208567
a362969d-fe30-497a-a2ec-42bc0119f398,0.016095562080487544,multiplex,1,0.08979634056336927,0.08716778823793142,-0.0003807670536108299
a362969d-fe30-497a-a2ec-42bc0119f398,0.016095562080487544,multiplex,2,0.08979634056336927,0.08716778823793142,-0.0013575146462702428
a362969d-fe30-497a-a2ec-42bc0119f398,0.016095562080487544,multiplex,3,0.08979634056336927,0.08716778823793142,-0.0007425551120118223
a362969d-fe30-497a-a2ec-42bc0119f398,0.016095562080487544,multiplex,4,0.08979634056336927,0.08716778823793142,0.0026285523254378496
62bdb0f5-affe-4b31-8b27-f5e96899f37f,0.019265409548427006,multiplex,0,0.08979634056336927,0.0859948594150642,-0.00020205791096043285
62bdb0f5-affe-4b31-8b27-f5e96899f37f,0.019265409548427006,multiplex,1,0.08979634056336927,0.0859948594150642,-0.0005544095478343528
62bdb0f5-affe-4b31-8b27-f5e96899f37f,0.019265409548427006,multiplex,2,0.08979634056336927,0.0859948594150642,-0.00195994617551819
62bdb0f5-affe-4b31-8b27-f5e96899f37f,0.019265409548427006,multiplex,3,0.08979634056336927,0.0859948594150642,-0.001085067513948157
62bdb0f5-affe-4b31-8b27-f5e96899f37f,0.019265409548427006,multiplex,4,0.08979634056336927,0.0859948594150642,0.003801481148305072
b37d56c6-488a-4121-abf6-8b8a2bf82668,0.023206596030835868,multiplex,0,0.08979634056336927,0.0842453409984051,-0.00027952427104842385
b37d56c6-488a-4121-abf6-8b8a2bf82668,0.023206596030835868,multiplex,1,0.08979634056336927,0.0842453409984051,-0.0008143055913659642
b37d56c6-488a-4121-abf6-8b8a2bf82668,0.023206596030835868,multiplex,2,0.08979634056336927,0.0842453409984051,-0.002857717921986876
b37d56c6-488a-4121-abf6-8b8a2bf82668,0.023206596030835868,multiplex,3,0.08979634056336927,0.0842453409984051,-0.001599451780515293
b37d56c6-488a-4121-abf6-8b8a2bf82668,0.023206596030835868,multiplex,4,0.08979634056336927,0.0842453409984051,0.005550999564964174
424c4ff7-5cc6-4032-bd54-70b492bbcbb5,0.034070268592542335,multiplex,0,0.08979634056336927,0.0781089502216609,-0.0005738067582142245
424c4ff7-5cc6-4032-bd54-70b492bbcbb5,0.034070268592542335,multiplex,1,0.08979634056336927,0.0781089502216609,-0.0017434208629001065
424c4ff7-5cc6-4032-bd54-70b492bbcbb5,0.034070268592542335,multiplex,2,0.08979634056336927,0.0781089502216609,-0.006001751609806445
424c4ff7-5cc6-4032-bd54-70b492bbcbb5,0.034070268592542335,multiplex,3,0.08979634056336927,0.0781089502216609,-0.0033684111107368797
424c4ff7-5cc6-4032-bd54-70b492bbcbb5,0.034070268592542335,multiplex,4,0.08979634056336927,0.0781089502216609,0.011687390341708376
a5b2c471-f1bc-49b7-9650-19bcd78e73ae,0.04153615803193878,multiplex,0,0.08979634056336927,0.07249391733818322,-0.0008185815008436818
a5b2c471-f1bc-49b7-9650-19bcd78e73ae,0.04153615803193878,multiplex,1,0.08979634056336927,0.07249391733818322,-0.002595191218134932
a5b2c471-f1bc-49b7-9650-19bcd78e73ae,0.04153615803193878,multiplex,2,0.08979634056336927,0.07249391733818322,-0.008881594189997058
a5b2c471-f1bc-49b7-9650-19bcd78e73ae,0.04153615803193878,multiplex,3,0.08979634056336927,0.07249391733818322,-0.005007056316166769
a5b2c471-f1bc-49b7-9650-19bcd78e73ae,0.04153615803193878,multiplex,4,0.08979634056336927,0.07249391733818322,0.017302423225186048
58020739-79fd-4cab-8f4e-e611a6cfba15,0.05082324636893082,multiplex,0,0.08979634056336927,0.06452542734005592,-0.0011362995489840187
58020739-79fd-4cab-8f4e-e611a6cfba15,0.05082324636893082,multiplex,1,0.08979634056336927,0.06452542734005592,-0.003696764615303263
58020739-79fd-4cab-8f4e-e611a6cfba15,0.05082324636893082,multiplex,2,0.08979634056336927,0.06452542734005592,-0.013030806421873846
58020739-79fd-4cab-8f4e-e611a6cfba15,0.05082324636893082,multiplex,3,0.08979634056336927,0.06452542734005592,-0.00740704263710823
58020739-79fd-4cab-8f4e-e611a6cfba15,0.05082324636893082,multiplex,4,0.08979634056336927,0.06452542734005592,0.025270913223313346
ffad3de5-49d4-4c8d-8be9-6db1be42dbda,0.062074054879668,multiplex,0,0.08979634056336927,0.05447448214261348,-0.001488464339764078
ffad3de5-49d4-4c8d-8be9-6db1be42dbda,0.062074054879668,multiplex,1,0.08979634056336927,0.05447448214261348,-0.00498462935334632
ffad3de5-49d4-4c8d-8be9-6db1be42dbda,0.062074054879668,multiplex,2,0.08979634056336927,0.05447448214261348,-0.018319733134036047
ffad3de5-49d4-4c8d-8be9-6db1be42dbda,0.062074054879668,multiplex,3,0.08979634056336927,0.05447448214261348,-0.010529031593562
ffad3de5-49d4-4c8d-8be9-6db1be42dbda,0.062074054879668,multiplex,4,0.08979634056336927,0.05447448214261348,0.03532185842075579
92ffff7e-8c09-447a-96b1-9bcdc2a0da1c,0.07520796206119236,multiplex,0,0.08979634056336927,0.04292598302772767,-0.001833667169452587
92ffff7e-8c09-447a-96b1-9bcdc2a0da1c,0.07520796206119236,multiplex,1,0.08979634056336927,0.04292598302772767,-0.0064154580895306665
92ffff7e-8c09-447a-96b1-9bcdc2a0da1c,0.07520796206119236,multiplex,2,0.08979634056336927,0.04292598302772767,-0.02445303415316012
92ffff7e-8c09-447a-96b1-9bcdc2a0da1c,0.07520796206119236,multiplex,3,0.08979634056336927,0.04292598302772767,-0.014168198123450382
92ffff7e-8c09-447a-96b1-9bcdc2a0da1c,0.07520796206119236,multiplex,4,0.08979634056336927,0.04292598302772767,0.0468703575356416
a11ae384-a142-4f33-a129-eda212675e2a,0.10880495881837887,multiplex,0,0.08979634056336927,0.022297539647332828,-0.002223729456032449
a11ae384-a142-4f33-a129-eda212675e2a,0.10880495881837887,multiplex,1,0.08979634056336927,0.022297539647332828,-0.008304034542700216
a11ae384-a142-4f33-a129-eda212675e2a,0.10880495881837887,multiplex,2,0.08979634056336927,0.022297539647332828,-0.03573226927053638
a11ae384-a142-4f33-a129-eda212675e2a,0.10880495881837887,multiplex,3,0.08979634056336927,0.022297539647332828,-0.02123876764672139
a11ae384-a142-4f33-a129-eda212675e2a,0.10880495881837887,multiplex,4,0.08979634056336927,0.022297539647332828,0.06749880091603644
44eb6f63-6f19-47d2-acce-67f2e59395bf,0.13099360530178397,multiplex,0,0.08979634056336927,0.02221868208445993,-0.0020242554137417097
44eb6f63-6f19-47d2-acce-67f2e59395bf,0.13099360530178397,multiplex,1,0.08979634056336927,0.02221868208445993,-0.007667204757793335
44eb6f63-6f19-47d2-acce-67f2e59395bf,0.13099360530178397,multiplex,2,0.08979634056336927,0.02221868208445993,-0.03626792867227137
44eb6f63-6f19-47d2-acce-67f2e59395bf,0.13099360530178397,multiplex,3,0.08979634056336927,0.02221868208445993,-0.02161826963505309
44eb6f63-6f19-47d2-acce-67f2e59395bf,0.13099360530178397,multiplex,4,0.08979634056336927,0.02221868208445993,0.06757765847890934
1a0d8c5d-3a1b-48ec-894a-12888c735955,0.1582891376823743,multiplex,0,0.08979634056336927,0.037404014119053086,-0.0014783417260001057
1a0d8c5d-3a1b-48ec-894a-12888c735955,0.1582891376823743,multiplex,1,0.08979634056336927,0.037404014119053086,-0.005338317161993993
1a0d8c5d-3a1b-48ec-894a-12888c735955,0.1582891376823743,multiplex,2,0.08979634056336927,0.037404014119053086,-0.028811796907869194
1a0d8c5d-3a1b-48ec-894a-12888c735955,0.1582891376823743,multiplex,3,0.08979634056336927,0.037404014119053086,-0.016763870648400014
1a0d8c5d-3a1b-48ec-894a-12888c735955,0.1582891376823743,multiplex,4,0.08979634056336927,0.037404014119053086,0.052392326444316184
3c4383a7-3ce4-4ecd-8518-c9c7cb681e01,0.19164928300647516,multiplex,0,0.08979634056336927,0.07957203495334357,-0.000596115315194141
3c4383a7-3ce4-4ecd-8518-c9c7cb681e01,0.19164928300647516,multiplex,1,0.08979634056336927,0.07957203495334357,-0.0005098351063026127
3c4383a7-3ce4-4ecd-8518-c9c7cb681e01,0.19164928300647516,multiplex,2,0.08979634056336927,0.07957203495334357,-0.006939211928446647
3c4383a7-3ce4-4ecd-8518-c9c7cb681e01,0.19164928300647516,multiplex,3,0.08979634056336927,0.07957203495334357,-0.0021791432600436478
3c4383a7-3ce4-4ecd-8518-c9c7cb681e01,0.19164928300647516,multiplex,4,0.08979634056336927,0.07957203495334357,0.0102243056100257
6d9944ec-a347-4b09-8ebc-0e0b2e54875a,0.23144829314982965,multiplex,0,0.08979634056336927,0.17398115145176382,0.0008718863547284423
6d9944ec-a347-4b09-8ebc-0e0b2e54875a,0.23144829314982965,multiplex,1,0.08979634056336927,0.17398115145176382,0.00895436773449275
6d9944ec-a347-4b09-8ebc-0e0b2e54875a,0.23144829314982965,multiplex,2,0.08979634056336927,0.17398115145176382,0.043022606634834905
6d9944ec-a347-4b09-8ebc-0e0b2e54875a,0.23144829314982965,multiplex,3,0.08979634056336927,0.17398115145176382,0.03133595016437818
6d9944ec-a347-4b09-8ebc-0e0b2e54875a,0.23144829314982965,multiplex,4,0.08979634056336927,0.17398115145176382,-0.08418481088839455
