ssid,bin,count,rate,expected,requested,tool,classifier,variable,value
37e41038-310c-44e1-a1ed-8979b0f73709,0,22,0.00010221989490569176,0.00010284655898156638,0.0001,pamld,multiplex,precision,0.9999627248159538
37e41038-310c-44e1-a1ed-8979b0f73709,0,22,0.00010221989490569176,0.00010284655898156638,0.0001,pamld,multiplex,recall,0.9999440882659908
37e41038-310c-44e1-a1ed-8979b0f73709,0,22,0.00010221989490569176,0.00010284655898156638,0.0001,pamld_ap,multiplex,FDR,3.727518404622123e-05
37e41038-310c-44e1-a1ed-8979b0f73709,0,22,0.00010221989490569176,0.00010284655898156638,0.0001,pamld_ap,multiplex,FN,9
37e41038-310c-44e1-a1ed-8979b0f73709,0,22,0.00010221989490569176,0.00010284655898156638,0.0001,pamld_ap,multiplex,FP,6
37e41038-310c-44e1-a1ed-8979b0f73709,0,22,0.00010221989490569176,0.00010284655898156638,0.0001,pamld_ap,multiplex,MR,5.591173400924407e-05
37e41038-310c-44e1-a1ed-8979b0f73709,0,22,0.00010221989490569176,0.00010284655898156638,0.0001,pamld_ap,multiplex,TP,160959
37e41038-310c-44e1-a1ed-8979b0f73709,0,22,0.00010221989490569176,0.00010284655898156638,0.0001,pamld_ap,multiplex,TP_FN,160968
37e41038-310c-44e1-a1ed-8979b0f73709,0,22,0.00010221989490569176,0.00010284655898156638,0.0001,pamld_ap,multiplex,TP_FP,160965
37e41038-310c-44e1-a1ed-8979b0f73709,0,22,0.00010221989490569176,0.00010284655898156638,0.0001,pamld_ap,multiplex,fscore,0.9999534064541381
37e41038-310c-44e1-a1ed-8979b0f73709,0,22,0.00010221989490569176,0.00010284655898156638,0.0001,pamld_ap,multiplex,precision,0.9999627248159538
37e41038-310c-44e1-a1ed-8979b0f73709,0,22,0.00010221989490569176,0.00010284655898156638,0.0001,pamld_ap,multiplex,recall,0.9999440882659908
37e41038-310c-44e1-a1ed-8979b0f73709,0,22,0.00010221989490569176,0.00010284655898156638,0.0001,pamld_u,multiplex,FDR,6.833189422222774e-05
37e41038-310c-44e1-a1ed-8979b0f73709,0,22,0.00010221989490569176,0.00010284655898156638,0.0001,pamld_u,multiplex,FN,0
37e41038-310c-44e1-a1ed-8979b0f73709,0,22,0.00010221989490569176,0.00010284655898156638,0.0001,pamld_u,multiplex,FP,11
37e41038-310c-44e1-a1ed-8979b0f73709,0,22,0.00010221989490569176,0.00010284655898156638,0.0001,pamld_u,multiplex,MR,0.0
37e41038-310c-44e1-a1ed-8979b0f73709,0,22,0.00010221989490569176,0.00010284655898156638,0.0001,pamld_u,multiplex,TP,160968
37e41038-310c-44e1-a1ed-8979b0f73709,0,22,0.00010221989490569176,0.00010284655898156638,0.0001,pamld_u,multiplex,TP_FN,160968
37e41038-310c-44e1-a1ed-8979b0f73709,0,22,0.00010221989490569176,0.00010284655898156638,0.0001,pamld_u,multiplex,TP_FP,160979
37e41038-310c-44e1-a1ed-8979b0f73709,0,22,0.00010221989490569176,0.00010284655898156638,0.0001,pamld_u,multiplex,fscore,0.9999658328855371
37e41038-310c-44e1-a1ed-8979b0f73709,0,22,0.00010221989490569176,0.00010284655898156638,0.0001,pamld_u,multiplex,precision,0.9999316681057778
37e41038-310c-44e1-a1ed-8979b0f73709,0,22,0.00010221989490569176,0.00010284655898156638,0.0001,pamld_u,multiplex,recall,1.0
082e6a59-27fe-47ed-ae2c-89da8ceb31ee,0,22,0.0005106309627725431,0.0005096646264838503,0.0005,deml,multiplex,FDR,0.0004595188713222966
082e6a59-27fe-47ed-ae2c-89da8ceb31ee,0,22,0.0005106309627725431,0.0005096646264838503,0.0005,deml,multiplex,FN,4
082e6a59-27fe-47ed-ae2c-89da8ceb31ee,0,22,0.0005106309627725431,0.0005096646264838503,0.0005,deml,multiplex,FP,74
082e6a59-27fe-47ed-ae2c-89da8ceb31ee,0,22,0.0005106309627725431,0.0005096646264838503,0.0005,deml,multiplex,MR,2.484965955966403e-05
082e6a59-27fe-47ed-ae2c-89da8ceb31ee,0,22,0.0005106309627725431,0.0005096646264838503,0.0005,deml,multiplex,TP,160964
082e6a59-27fe-47ed-ae2c-89da8ceb31ee,0,22,0.0005106309627725431,0.0005096646264838503,0.0005,deml,multiplex,TP_FN,160968
082e6a59-27fe-47ed-ae2c-89da8ceb31ee,0,22,0.0005106309627725431,0.0005096646264838503,0.0005,deml,multiplex,TP_FP,161038
082e6a59-27fe-47ed-ae2c-89da8ceb31ee,0,22,0.0005106309627725431,0.0005096646264838503,0.0005,deml,multiplex,fscore,0.999757768488786
082e6a59-27fe-47ed-ae2c-89da8ceb31ee,0,22,0.0005106309627725431,0.0005096646264838503,0.0005,deml,multiplex,precision,0.9995404811286777
082e6a59-27fe-47ed-ae2c-89da8ceb31ee,0,22,0.0005106309627725431,0.0005096646264838503,0.0005,deml,multiplex,recall,0.9999751503404404
082e6a59-27fe-47ed-ae2c-89da8ceb31ee,0,22,0.0005106309627725431,0.0005096646264838503,0.0005,mdd,multiplex,FDR,0.00038523673418665343
082e6a59-27fe-47ed-ae2c-89da8ceb31ee,0,22,0.0005106309627725431,0.0005096646264838503,0.0005,mdd,multiplex,FN,90
082e6a59-27fe-47ed-ae2c-89da8ceb31ee,0,22,0.0005106309627725431,0.0005096646264838503,0.0005,mdd,multiplex,FP,62
082e6a59-27fe-47ed-ae2c-89da8ceb31ee,0,22,0.0005106309627725431,0.0005096646264838503,0.0005,mdd,multiplex,MR,0.0005591173400924407
082e6a59-27fe-47ed-ae2c-89da8ceb31ee,0,22,0.0005106309627725431,0.0005096646264838503,0.0005,mdd,multiplex,TP,160878
082e6a59-27fe-47ed-ae2c-89da8ceb31ee,0,22,0.0005106309627725431,0.0005096646264838503,0.0005,mdd,multiplex,TP_FN,160968
082e6a59-27fe-47ed-ae2c-89da8ceb31ee,0,22,0.0005106309627725431,0.0005096646264838503,0.0005,mdd,multiplex,TP_FP,160940
082e6a59-27fe-47ed-ae2c-89da8ceb31ee,0,22,0.0005106309627725431,0.0005096646264838503,0.0005,mdd,multiplex,fscore,0.9995278154006735
082e6a59-27fe-47ed-ae2c-89da8ceb31ee,0,22,0.0005106309627725431,0.0005096646264838503,0.0005,mdd,multiplex,precision,0.9996147632658133
082e6a59-27fe-47ed-ae2c-89da8ceb31ee,0,22,0.0005106309627725431,0.0005096646264838503,0.0005,mdd,multiplex,recall,0.9994408826599076
082e6a59-27fe-47ed-ae2c-89da8ceb31ee,0,22,0.0005106309627725431,0.0005096646264838503,0.0005,pamld,multiplex,FDR,4.969870162142014e-05
