ssid,index,rate,expected,requested,tool,classifier,TP,FP,FN,TP_FN,TP_FP,FDR,MR,precision,recall,fscore
9442e6ea-8033-44b2-b0f3-91470348a7f0,1,0.006930104080448791,0.006924673097025652,0.0075,pamld,multiplex,28838,3,86,28924,28841,0.00010401858465379148,0.002973309362467155,0.9998959814153462,0.9970266906375328,0.9984592746472777
9442e6ea-8033-44b2-b0f3-91470348a7f0,1,0.006930104080448791,0.006924673097025652,0.0075,pamld_ap,multiplex,28838,3,86,28924,28841,0.00010401858465379148,0.002973309362467155,0.9998959814153462,0.9970266906375328,0.9984592746472777
9442e6ea-8033-44b2-b0f3-91470348a7f0,1,0.006930104080448791,0.006924673097025652,0.0075,pamld_u,multiplex,28841,26,83,28924,28867,0.0009006824401565802,0.0028695892684276036,0.9990993175598434,0.9971304107315724,0.9981138931667561
156d68c8-abcd-439a-a387-71b3708652ff,1,0.009601136452099902,0.009597217109966756,0.01,deml,multiplex,28789,94,135,28924,28883,0.003254509573105287,0.004667404231779837,0.9967454904268948,0.9953325957682202,0.9960385420450811
156d68c8-abcd-439a-a387-71b3708652ff,1,0.009601136452099902,0.009597217109966756,0.01,mdd,multiplex,28547,3,377,28924,28550,0.00010507880910683012,0.013034158484303693,0.9998949211908932,0.9869658415156963,0.9933883147162195
156d68c8-abcd-439a-a387-71b3708652ff,1,0.009601136452099902,0.009597217109966756,0.01,pamld,multiplex,28825,10,99,28924,28835,0.0003468007629616785,0.0034227631033052134,0.9996531992370383,0.9965772368966948,0.9981128482141312
156d68c8-abcd-439a-a387-71b3708652ff,1,0.009601136452099902,0.009597217109966756,0.01,pamld_ap,multiplex,28825,10,99,28924,28835,0.0003468007629616785,0.0034227631033052134,0.9996531992370383,0.9965772368966948,0.9981128482141312
156d68c8-abcd-439a-a387-71b3708652ff,1,0.009601136452099902,0.009597217109966756,0.01,pamld_u,multiplex,28823,40,101,28924,28863,0.0013858573259882894,0.003491909832664915,0.9986141426740117,0.9965080901673351,0.9975600048453804
7d4caa7a-5b9c-4b47-af6a-0217ce344f6a,1,0.013483866722723161,0.013480778520425887,0.0125,deml,multiplex,28761,171,163,28924,28932,0.00591041061800083,0.005635458442815655,0.9940895893819992,0.9943645415571843,0.994227046460177
7d4caa7a-5b9c-4b47-af6a-0217ce344f6a,1,0.013483866722723161,0.013480778520425887,0.0125,mdd,multiplex,28433,4,491,28924,28437,0.00014066181383408938,0.016975522057806666,0.9998593381861659,0.9830244779421934,0.991370443332578
7d4caa7a-5b9c-4b47-af6a-0217ce344f6a,1,0.013483866722723161,0.013480778520425887,0.0125,pamld,multiplex,28796,13,128,28924,28809,0.0004512478739282863,0.0044253906790208825,0.9995487521260717,0.9955746093209791,0.9975577226196455
7d4caa7a-5b9c-4b47-af6a-0217ce344f6a,1,0.013483866722723161,0.013480778520425887,0.0125,pamld_ap,multiplex,28796,13,128,28924,28809,0.0004512478739282863,0.0044253906790208825,0.9995487521260717,0.9955746093209791,0.9975577226196455
7d4caa7a-5b9c-4b47-af6a-0217ce344f6a,1,0.013483866722723161,0.013480778520425887,0.0125,pamld_u,multiplex,28798,84,126,28924,28882,0.00290838584585555,0.004356243949661181,0.9970916141541445,0.9956437560503388,0.9963671591184308
a362969d-fe30-497a-a2ec-42bc0119f398,1,0.016095562080487544,0.016079213918012623,0.016,deml,multiplex,28740,212,184,28924,28952,0.0073224647692732795,0.0063614991010925185,0.9926775352307268,0.9936385008989075,0.9931577856106157
a362969d-fe30-497a-a2ec-42bc0119f398,1,0.016095562080487544,0.016079213918012623,0.016,mdd,multiplex,28328,2,596,28924,28330,7.05965407695023e-05,0.020605725349190984,0.9999294034592305,0.979394274650809,0.9895553149124952
a362969d-fe30-497a-a2ec-42bc0119f398,1,0.016095562080487544,0.016079213918012623,0.016,pamld,multiplex,28788,19,136,28924,28807,0.0006595619120352692,0.004701977596459688,0.9993404380879647,0.9952980224035403,0.9973151339834749
a362969d-fe30-497a-a2ec-42bc0119f398,1,0.016095562080487544,0.016079213918012623,0.016,pamld_ap,multiplex,28788,19,136,28924,28807,0.0006595619120352692,0.004701977596459688,0.9993404380879647,0.9952980224035403,0.9973151339834749
a362969d-fe30-497a-a2ec-42bc0119f398,1,0.016095562080487544,0.016079213918012623,0.016,pamld_u,multiplex,28787,104,137,28924,28891,0.00359973694230037,0.004736550961139538,0.9964002630576996,0.9952634490388604,0.9958315316094439
62bdb0f5-affe-4b31-8b27-f5e96899f37f,1,0.019265409548427006,0.019266911744529214,0.02,deml,multiplex,28721,302,203,28924,29023,0.010405540433449333,0.007018393030009681,0.9895944595665507,0.9929816069699903,0.9912851398691908
62bdb0f5-affe-4b31-8b27-f5e96899f37f,1,0.019265409548427006,0.019266911744529214,0.02,mdd,multiplex,28181,3,743,28924,28184,0.00010644337212602895,0.025688009957129027,0.9998935566278739,0.974311990042871,0.9869370315892694
62bdb0f5-affe-4b31-8b27-f5e96899f37f,1,0.019265409548427006,0.019266911744529214,0.02,pamld,multiplex,28770,24,154,28924,28794,0.0008335069806209627,0.005324298160696999,0.999166493019379,0.994675701839303,0.996916040056828
62bdb0f5-affe-4b31-8b27-f5e96899f37f,1,0.019265409548427006,0.019266911744529214,0.02,pamld_ap,multiplex,28769,24,155,28924,28793,0.0008335359288716008,0.00535887152537685,0.9991664640711284,0.9946411284746232,0.9968986607065511
62bdb0f5-affe-4b31-8b27-f5e96899f37f,1,0.019265409548427006,0.019266911744529214,0.02,pamld_u,multiplex,28769,163,155,28924,28932,0.005633900179731785,0.00535887152537685,0.9943660998202682,0.9946411284746232,0.9945035951327434
b37d56c6-488a-4121-abf6-8b8a2bf82668,1,0.023206596030835868,0.02319386749805251,0.025,deml,multiplex,28702,398,222,28924,29100,0.013676975945017182,0.007675286958926842,0.9863230240549828,0.9923247130410732,0.9893147663035986
b37d56c6-488a-4121-abf6-8b8a2bf82668,1,0.023206596030835868,0.02319386749805251,0.025,mdd,multiplex,27989,4,935,28924,27993,0.00014289286607366126,0.03232609597566035,0.9998571071339264,0.9676739040243396,0.9835022928123408
b37d56c6-488a-4121-abf6-8b8a2bf82668,1,0.023206596030835868,0.02319386749805251,0.025,pamld,multiplex,28761,29,163,28924,28790,0.001007294199374783,0.005635458442815655,0.9989927058006253,0.9943645415571843,0.9966732508576776
b37d56c6-488a-4121-abf6-8b8a2bf82668,1,0.023206596030835868,0.02319386749805251,0.025,pamld_ap,multiplex,28760,28,164,28924,28788,0.000972627483673753,0.005670031807495505,0.9990273725163262,0.9943299681925045,0.9966731355697256
b37d56c6-488a-4121-abf6-8b8a2bf82668,1,0.023206596030835868,0.02319386749805251,0.025,pamld_u,multiplex,28756,202,168,28924,28958,0.0069756198632502245,0.005808325266214908,0.9930243801367498,0.9941916747337851,0.9936076845997028
424c4ff7-5cc6-4032-bd54-70b492bbcbb5,1,0.034070268592542335,0.03406973105966287,0.031,deml,multiplex,28615,725,309,28924,29340,0.02471029311520109,0.010683169686073848,0.9752897068847989,0.9893168303139261,0.9822531923657833
424c4ff7-5cc6-4032-bd54-70b492bbcbb5,1,0.034070268592542335,0.03406973105966287,0.031,mdd,multiplex,27303,2,1621,28924,27305,7.324665812122322e-05,0.05604342414603789,0.9999267533418787,0.9439565758539621,0.97113589073254
424c4ff7-5cc6-4032-bd54-70b492bbcbb5,1,0.034070268592542335,0.03406973105966287,0.031,pamld,multiplex,28695,69,229,28924,28764,0.0023988318731748017,0.007917300511685797,0.9976011681268252,0.9920826994883142,0.994834280959645
424c4ff7-5cc6-4032-bd54-70b492bbcbb5,1,0.034070268592542335,0.03406973105966287,0.031,pamld_ap,multiplex,28693,63,231,28924,28756,0.0021908471275559884,0.007986447241045498,0.997809152872444,0.9920135527589545,0.9949029126213593
