ssid,rate,expected,requested,tool,classifier,variable,value
082e6a59-27fe-47ed-ae2c-89da8ceb31ee,0.0005106309627725431,0.0005096646264838503,0.0005,pamld,multiplex,FN,79
082e6a59-27fe-47ed-ae2c-89da8ceb31ee,0.0005106309627725431,0.0005096646264838503,0.0005,pamld,multiplex,FP,57
082e6a59-27fe-47ed-ae2c-89da8ceb31ee,0.0005106309627725431,0.0005096646264838503,0.0005,pamld,multiplex,MR,5.69294571243e-06
082e6a59-27fe-47ed-ae2c-89da8ceb31ee,0.0005106309627725431,0.0005096646264838503,0.0005,pamld,multiplex,TP,13876744
082e6a59-27fe-47ed-ae2c-89da8ceb31ee,0.0005106309627725431,0.0005096646264838503,0.0005,pamld,multiplex,TP_FN,13876823
082e6a59-27fe-47ed-ae2c-89da8ceb31ee,0.0005106309627725431,0.0005096646264838503,0.0005,pamld,multiplex,TP_FP,13876801
082e6a59-27fe-47ed-ae2c-89da8ceb31ee,0.0005106309627725431,0.0005096646264838503,0.0005,pamld,multiplex,fscore,0.9999950997390467
082e6a59-27fe-47ed-ae2c-89da8ceb31ee,0.0005106309627725431,0.0005096646264838503,0.0005,pamld,multiplex,precision,0.9999958924250625
082e6a59-27fe-47ed-ae2c-89da8ceb31ee,0.0005106309627725431,0.0005096646264838503,0.0005,pamld,multiplex,recall,0.9999943070542876
082e6a59-27fe-47ed-ae2c-89da8ceb31ee,0.0005106309627725431,0.0005096646264838503,0.0005,pamld_ap,multiplex,FDR,4.1075749374801875e-06
082e6a59-27fe-47ed-ae2c-89da8ceb31ee,0.0005106309627725431,0.0005096646264838503,0.0005,pamld_ap,multiplex,FN,79
082e6a59-27fe-47ed-ae2c-89da8ceb31ee,0.0005106309627725431,0.0005096646264838503,0.0005,pamld_ap,multiplex,FP,57
082e6a59-27fe-47ed-ae2c-89da8ceb31ee,0.0005106309627725431,0.0005096646264838503,0.0005,pamld_ap,multiplex,MR,5.69294571243e-06
082e6a59-27fe-47ed-ae2c-89da8ceb31ee,0.0005106309627725431,0.0005096646264838503,0.0005,pamld_ap,multiplex,TP,13876744
082e6a59-27fe-47ed-ae2c-89da8ceb31ee,0.0005106309627725431,0.0005096646264838503,0.0005,pamld_ap,multiplex,TP_FN,13876823
082e6a59-27fe-47ed-ae2c-89da8ceb31ee,0.0005106309627725431,0.0005096646264838503,0.0005,pamld_ap,multiplex,TP_FP,13876801
082e6a59-27fe-47ed-ae2c-89da8ceb31ee,0.0005106309627725431,0.0005096646264838503,0.0005,pamld_ap,multiplex,fscore,0.9999950997390467
082e6a59-27fe-47ed-ae2c-89da8ceb31ee,0.0005106309627725431,0.0005096646264838503,0.0005,pamld_ap,multiplex,precision,0.9999958924250625
082e6a59-27fe-47ed-ae2c-89da8ceb31ee,0.0005106309627725431,0.0005096646264838503,0.0005,pamld_ap,multiplex,recall,0.9999943070542876
082e6a59-27fe-47ed-ae2c-89da8ceb31ee,0.0005106309627725431,0.0005096646264838503,0.0005,pamld_u,multiplex,FDR,9.2240000121065e-06
082e6a59-27fe-47ed-ae2c-89da8ceb31ee,0.0005106309627725431,0.0005096646264838503,0.0005,pamld_u,multiplex,FN,108
082e6a59-27fe-47ed-ae2c-89da8ceb31ee,0.0005106309627725431,0.0005096646264838503,0.0005,pamld_u,multiplex,FP,128
082e6a59-27fe-47ed-ae2c-89da8ceb31ee,0.0005106309627725431,0.0005096646264838503,0.0005,pamld_u,multiplex,MR,7.782761227119492e-06
082e6a59-27fe-47ed-ae2c-89da8ceb31ee,0.0005106309627725431,0.0005096646264838503,0.0005,pamld_u,multiplex,TP,13876715
082e6a59-27fe-47ed-ae2c-89da8ceb31ee,0.0005106309627725431,0.0005096646264838503,0.0005,pamld_u,multiplex,TP_FN,13876823
082e6a59-27fe-47ed-ae2c-89da8ceb31ee,0.0005106309627725431,0.0005096646264838503,0.0005,pamld_u,multiplex,TP_FP,13876843
082e6a59-27fe-47ed-ae2c-89da8ceb31ee,0.0005106309627725431,0.0005096646264838503,0.0005,pamld_u,multiplex,fscore,0.9999914966188611
082e6a59-27fe-47ed-ae2c-89da8ceb31ee,0.0005106309627725431,0.0005096646264838503,0.0005,pamld_u,multiplex,precision,0.9999907759999879
082e6a59-27fe-47ed-ae2c-89da8ceb31ee,0.0005106309627725431,0.0005096646264838503,0.0005,pamld_u,multiplex,recall,0.9999922172387729
ce333fb9-5e8d-4b14-a5ee-7101afe2cfa6,0.001001851483497498,0.0010005376054258012,0.001,deml,multiplex,FDR,5.073230350600572e-05
ce333fb9-5e8d-4b14-a5ee-7101afe2cfa6,0.001001851483497498,0.0010005376054258012,0.001,deml,multiplex,FN,767
ce333fb9-5e8d-4b14-a5ee-7101afe2cfa6,0.001001851483497498,0.0010005376054258012,0.001,deml,multiplex,FP,704
ce333fb9-5e8d-4b14-a5ee-7101afe2cfa6,0.001001851483497498,0.0010005376054258012,0.001,deml,multiplex,MR,5.527201723333936e-05
ce333fb9-5e8d-4b14-a5ee-7101afe2cfa6,0.001001851483497498,0.0010005376054258012,0.001,deml,multiplex,TP,13876056
ce333fb9-5e8d-4b14-a5ee-7101afe2cfa6,0.001001851483497498,0.0010005376054258012,0.001,deml,multiplex,TP_FN,13876823
ce333fb9-5e8d-4b14-a5ee-7101afe2cfa6,0.001001851483497498,0.0010005376054258012,0.001,deml,multiplex,TP_FP,13876760
ce333fb9-5e8d-4b14-a5ee-7101afe2cfa6,0.001001851483497498,0.0010005376054258012,0.001,deml,multiplex,fscore,0.9999469978344778
ce333fb9-5e8d-4b14-a5ee-7101afe2cfa6,0.001001851483497498,0.0010005376054258012,0.001,deml,multiplex,precision,0.999949267696494
ce333fb9-5e8d-4b14-a5ee-7101afe2cfa6,0.001001851483497498,0.0010005376054258012,0.001,deml,multiplex,recall,0.9999447279827667
ce333fb9-5e8d-4b14-a5ee-7101afe2cfa6,0.001001851483497498,0.0010005376054258012,0.001,mdd,multiplex,FDR,1.8189943285633575e-05
ce333fb9-5e8d-4b14-a5ee-7101afe2cfa6,0.001001851483497498,0.0010005376054258012,0.001,mdd,multiplex,FN,23266
ce333fb9-5e8d-4b14-a5ee-7101afe2cfa6,0.001001851483497498,0.0010005376054258012,0.001,mdd,multiplex,FP,252
ce333fb9-5e8d-4b14-a5ee-7101afe2cfa6,0.001001851483497498,0.0010005376054258012,0.001,mdd,multiplex,MR,0.0016766085436126122
ce333fb9-5e8d-4b14-a5ee-7101afe2cfa6,0.001001851483497498,0.0010005376054258012,0.001,mdd,multiplex,TP,13853557
ce333fb9-5e8d-4b14-a5ee-7101afe2cfa6,0.001001851483497498,0.0010005376054258012,0.001,mdd,multiplex,TP_FN,13876823
ce333fb9-5e8d-4b14-a5ee-7101afe2cfa6,0.001001851483497498,0.0010005376054258012,0.001,mdd,multiplex,TP_FP,13853809
ce333fb9-5e8d-4b14-a5ee-7101afe2cfa6,0.001001851483497498,0.0010005376054258012,0.001,mdd,multiplex,fscore,0.9991519125853316
ce333fb9-5e8d-4b14-a5ee-7101afe2cfa6,0.001001851483497498,0.0010005376054258012,0.001,mdd,multiplex,precision,0.9999818100567144
ce333fb9-5e8d-4b14-a5ee-7101afe2cfa6,0.001001851483497498,0.0010005376054258012,0.001,mdd,multiplex,recall,0.9983233914563874
ce333fb9-5e8d-4b14-a5ee-7101afe2cfa6,0.001001851483497498,0.0010005376054258012,0.001,pamld,multiplex,FDR,6.774100049998624e-06
ce333fb9-5e8d-4b14-a5ee-7101afe2cfa6,0.001001851483497498,0.0010005376054258012,0.001,pamld,multiplex,FN,535
ce333fb9-5e8d-4b14-a5ee-7101afe2cfa6,0.001001851483497498,0.0010005376054258012,0.001,pamld,multiplex,FP,94
ce333fb9-5e8d-4b14-a5ee-7101afe2cfa6,0.001001851483497498,0.0010005376054258012,0.001,pamld,multiplex,MR,3.855349311582341e-05
ce333fb9-5e8d-4b14-a5ee-7101afe2cfa6,0.001001851483497498,0.0010005376054258012,0.001,pamld,multiplex,TP,13876288
ce333fb9-5e8d-4b14-a5ee-7101afe2cfa6,0.001001851483497498,0.0010005376054258012,0.001,pamld,multiplex,TP_FN,13876823
ce333fb9-5e8d-4b14-a5ee-7101afe2cfa6,0.001001851483497498,0.0010005376054258012,0.001,pamld,multiplex,TP_FP,13876382
ce333fb9-5e8d-4b14-a5ee-7101afe2cfa6,0.001001851483497498,0.0010005376054258012,0.001,pamld,multiplex,fscore,0.9999773359509289
ce333fb9-5e8d-4b14-a5ee-7101afe2cfa6,0.001001851483497498,0.0010005376054258012,0.001,pamld,multiplex,precision,0.99999322589995
ce333fb9-5e8d-4b14-a5ee-7101afe2cfa6,0.001001851483497498,0.0010005376054258012,0.001,pamld,multiplex,recall,0.9999614465068841
ce333fb9-5e8d-4b14-a5ee-7101afe2cfa6,0.001001851483497498,0.0010005376054258012,0.001,pamld_ap,multiplex,FDR,6.7741005381734615e-06
ce333fb9-5e8d-4b14-a5ee-7101afe2cfa6,0.001001851483497498,0.0010005376054258012,0.001,pamld_ap,multiplex,FN,536
ce333fb9-5e8d-4b14-a5ee-7101afe2cfa6,0.001001851483497498,0.0010005376054258012,0.001,pamld_ap,multiplex,FP,94
ce333fb9-5e8d-4b14-a5ee-7101afe2cfa6,0.001001851483497498,0.0010005376054258012,0.001,pamld_ap,multiplex,MR,3.862555571977822e-05
ce333fb9-5e8d-4b14-a5ee-7101afe2cfa6,0.001001851483497498,0.0010005376054258012,0.001,pamld_ap,multiplex,TP,13876287
ce333fb9-5e8d-4b14-a5ee-7101afe2cfa6,0.001001851483497498,0.0010005376054258012,0.001,pamld_ap,multiplex,TP_FN,13876823
ce333fb9-5e8d-4b14-a5ee-7101afe2cfa6,0.001001851483497498,0.0010005376054258012,0.001,pamld_ap,multiplex,TP_FP,13876381
ce333fb9-5e8d-4b14-a5ee-7101afe2cfa6,0.001001851483497498,0.0010005376054258012,0.001,pamld_ap,multiplex,fscore,0.9999772999182365
ce333fb9-5e8d-4b14-a5ee-7101afe2cfa6,0.001001851483497498,0.0010005376054258012,0.001,pamld_ap,multiplex,precision,0.9999932258994618
ce333fb9-5e8d-4b14-a5ee-7101afe2cfa6,0.001001851483497498,0.0010005376054258012,0.001,pamld_ap,multiplex,recall,0.9999613744442802
ce333fb9-5e8d-4b14-a5ee-7101afe2cfa6,0.001001851483497498,0.0010005376054258012,0.001,pamld_u,multiplex,FDR,1.8953213308326622e-05
ce333fb9-5e8d-4b14-a5ee-7101afe2cfa6,0.001001851483497498,0.0010005376054258012,0.001,pamld_u,multiplex,FN,811
ce333fb9-5e8d-4b14-a5ee-7101afe2cfa6,0.001001851483497498,0.0010005376054258012,0.001,pamld_u,multiplex,FP,263
ce333fb9-5e8d-4b14-a5ee-7101afe2cfa6,0.001001851483497498,0.0010005376054258012,0.001,pamld_u,multiplex,MR,5.844277180735101e-05
ce333fb9-5e8d-4b14-a5ee-7101afe2cfa6,0.001001851483497498,0.0010005376054258012,0.001,pamld_u,multiplex,TP,13876012
ce333fb9-5e8d-4b14-a5ee-7101afe2cfa6,0.001001851483497498,0.0010005376054258012,0.001,pamld_u,multiplex,TP_FN,13876823
ce333fb9-5e8d-4b14-a5ee-7101afe2cfa6,0.001001851483497498,0.0010005376054258012,0.001,pamld_u,multiplex,TP_FP,13876275
ce333fb9-5e8d-4b14-a5ee-7101afe2cfa6,0.001001851483497498,0.0010005376054258012,0.001,pamld_u,multiplex,fscore,0.9999613016175707
ce333fb9-5e8d-4b14-a5ee-7101afe2cfa6,0.001001851483497498,0.0010005376054258012,0.001,pamld_u,multiplex,precision,0.9999810467866916
ce333fb9-5e8d-4b14-a5ee-7101afe2cfa6,0.001001851483497498,0.0010005376054258012,0.001,pamld_u,multiplex,recall,0.9999415572281927
b3b1b9af-9a6c-43dd-b5ab-be35bbee9c7f,0.0010195846534589079,0.0010154784442797933,0,deml,multiplex,FDR,5.3254352588493025e-05
b3b1b9af-9a6c-43dd-b5ab-be35bbee9c7f,0.0010195846534589079,0.0010154784442797933,0,deml,multiplex,FN,762
b3b1b9af-9a6c-43dd-b5ab-be35bbee9c7f,0.0010195846534589079,0.0010154784442797933,0,deml,multiplex,FP,739
b3b1b9af-9a6c-43dd-b5ab-be35bbee9c7f,0.0010195846534589079,0.0010154784442797933,0,deml,multiplex,MR,5.491170421356531e-05
b3b1b9af-9a6c-43dd-b5ab-be35bbee9c7f,0.0010195846534589079,0.0010154784442797933,0,deml,multiplex,TP,13876061
b3b1b9af-9a6c-43dd-b5ab-be35bbee9c7f,0.0010195846534589079,0.0010154784442797933,0,deml,multiplex,TP_FN,13876823
b3b1b9af-9a6c-43dd-b5ab-be35bbee9c7f,0.0010195846534589079,0.0010154784442797933,0,deml,multiplex,TP_FP,13876800
b3b1b9af-9a6c-43dd-b5ab-be35bbee9c7f,0.0010195846534589079,0.0010154784442797933,0,deml,multiplex,fscore,0.9999459169709122
b3b1b9af-9a6c-43dd-b5ab-be35bbee9c7f,0.0010195846534589079,0.0010154784442797933,0,deml,multiplex,precision,0.9999467456474115
b3b1b9af-9a6c-43dd-b5ab-be35bbee9c7f,0.0010195846534589079,0.0010154784442797933,0,deml,multiplex,recall,0.9999450882957864
b3b1b9af-9a6c-43dd-b5ab-be35bbee9c7f,0.0010195846534589079,0.0010154784442797933,0,mdd,multiplex,FDR,1.819082959855871e-05
b3b1b9af-9a6c-43dd-b5ab-be35bbee9c7f,0.0010195846534589079,0.0010154784442797933,0,mdd,multiplex,FN,23941
b3b1b9af-9a6c-43dd-b5ab-be35bbee9c7f,0.0010195846534589079,0.0010154784442797933,0,mdd,multiplex,FP,252
b3b1b9af-9a6c-43dd-b5ab-be35bbee9c7f,0.0010195846534589079,0.0010154784442797933,0,mdd,multiplex,MR,0.001725250801282109
b3b1b9af-9a6c-43dd-b5ab-be35bbee9c7f,0.0010195846534589079,0.0010154784442797933,0,mdd,multiplex,TP,13852882
b3b1b9af-9a6c-43dd-b5ab-be35bbee9c7f,0.0010195846534589079,0.0010154784442797933,0,mdd,multiplex,TP_FN,13876823
b3b1b9af-9a6c-43dd-b5ab-be35bbee9c7f,0.0010195846534589079,0.0010154784442797933,0,mdd,multiplex,TP_FP,13853134
b3b1b9af-9a6c-43dd-b5ab-be35bbee9c7f,0.0010195846534589079,0.0010154784442797933,0,mdd,multiplex,fscore,0.9991275500355085
b3b1b9af-9a6c-43dd-b5ab-be35bbee9c7f,0.0010195846534589079,0.0010154784442797933,0,mdd,multiplex,precision,0.9999818091704015
b3b1b9af-9a6c-43dd-b5ab-be35bbee9c7f,0.0010195846534589079,0.0010154784442797933,0,mdd,multiplex,recall,0.9982747491987178
b3b1b9af-9a6c-43dd-b5ab-be35bbee9c7f,0.0010195846534589079,0.0010154784442797933,0,pamld,multiplex,FDR,6.41376725951976e-06
b3b1b9af-9a6c-43dd-b5ab-be35bbee9c7f,0.0010195846534589079,0.0010154784442797933,0,pamld,multiplex,FN,512
b3b1b9af-9a6c-43dd-b5ab-be35bbee9c7f,0.0010195846534589079,0.0010154784442797933,0,pamld,multiplex,FP,89
b3b1b9af-9a6c-43dd-b5ab-be35bbee9c7f,0.0010195846534589079,0.0010154784442797933,0,pamld,multiplex,MR,3.689605322486278e-05
b3b1b9af-9a6c-43dd-b5ab-be35bbee9c7f,0.0010195846534589079,0.0010154784442797933,0,pamld,multiplex,TP,13876311
b3b1b9af-9a6c-43dd-b5ab-be35bbee9c7f,0.0010195846534589079,0.0010154784442797933,0,pamld,multiplex,TP_FN,13876823
b3b1b9af-9a6c-43dd-b5ab-be35bbee9c7f,0.0010195846534589079,0.0010154784442797933,0,pamld,multiplex,TP_FP,13876400
b3b1b9af-9a6c-43dd-b5ab-be35bbee9c7f,0.0010195846534589079,0.0010154784442797933,0,pamld,multiplex,fscore,0.9999783448574603
b3b1b9af-9a6c-43dd-b5ab-be35bbee9c7f,0.0010195846534589079,0.0010154784442797933,0,pamld,multiplex,precision,0.9999935862327405
b3b1b9af-9a6c-43dd-b5ab-be35bbee9c7f,0.0010195846534589079,0.0010154784442797933,0,pamld,multiplex,recall,0.9999631039467751
b3b1b9af-9a6c-43dd-b5ab-be35bbee9c7f,0.0010195846534589079,0.0010154784442797933,0,pamld_ap,multiplex,FDR,6.41376725951976e-06
b3b1b9af-9a6c-43dd-b5ab-be35bbee9c7f,0.0010195846534589079,0.0010154784442797933,0,pamld_ap,multiplex,FN,512
b3b1b9af-9a6c-43dd-b5ab-be35bbee9c7f,0.0010195846534589079,0.0010154784442797933,0,pamld_ap,multiplex,FP,89
b3b1b9af-9a6c-43dd-b5ab-be35bbee9c7f,0.0010195846534589079,0.0010154784442797933,0,pamld_ap,multiplex,MR,3.689605322486278e-05
b3b1b9af-9a6c-43dd-b5ab-be35bbee9c7f,0.0010195846534589079,0.0010154784442797933,0,pamld_ap,multiplex,TP,13876311
b3b1b9af-9a6c-43dd-b5ab-be35bbee9c7f,0.0010195846534589079,0.0010154784442797933,0,pamld_ap,multiplex,TP_FN,13876823
b3b1b9af-9a6c-43dd-b5ab-be35bbee9c7f,0.0010195846534589079,0.0010154784442797933,0,pamld_ap,multiplex,TP_FP,13876400
b3b1b9af-9a6c-43dd-b5ab-be35bbee9c7f,0.0010195846534589079,0.0010154784442797933,0,pamld_ap,multiplex,fscore,0.9999783448574603
b3b1b9af-9a6c-43dd-b5ab-be35bbee9c7f,0.0010195846534589079,0.0010154784442797933,0,pamld_ap,multiplex,precision,0.9999935862327405
b3b1b9af-9a6c-43dd-b5ab-be35bbee9c7f,0.0010195846534589079,0.0010154784442797933,0,pamld_ap,multiplex,recall,0.9999631039467751
