ssid,rate,expected,requested,tool,classifier,TP,FP,FN,TP_FN,TP_FP,FDR,MR,precision,recall,fscore
a362969d-fe30-497a-a2ec-42bc0119f398,0.016095562080487544,0.016079213918012623,0.016,pamld,multiplex,1365912,12825,3109,1369021,1378737,0.009301991605360558,0.0022709658946064378,0.9906980083946394,0.9977290341053936,0.994201090489046
a362969d-fe30-497a-a2ec-42bc0119f398,0.016095562080487544,0.016079213918012623,0.016,pamld_ap,multiplex,1365948,12838,3073,1369021,1378786,0.009311089610715513,0.002244669731143642,0.9906889103892845,0.9977553302688563,0.99420956420884
a362969d-fe30-497a-a2ec-42bc0119f398,0.016095562080487544,0.016079213918012623,0.016,pamld_u,multiplex,1358779,13486,10242,1369021,1372265,0.009827547886159015,0.00748125850516537,0.990172452113841,0.9925187414948347,0.9913442085211102
62bdb0f5-affe-4b31-8b27-f5e96899f37f,0.019265409548427006,0.019266911744529214,0.02,deml,multiplex,1341397,12714,27624,1369021,1354111,0.009389185967767782,0.020177922763785217,0.9906108140322322,0.9798220772362148,0.9851869097788869
62bdb0f5-affe-4b31-8b27-f5e96899f37f,0.019265409548427006,0.019266911744529214,0.02,mdd,multiplex,1368778,355963,243,1369021,1724741,0.20638635018243318,0.0001774991033738708,0.7936136498175668,0.9998225008966262,0.8848631536621111
62bdb0f5-affe-4b31-8b27-f5e96899f37f,0.019265409548427006,0.019266911744529214,0.02,pamld,multiplex,1364800,13642,4221,1369021,1378442,0.00989668045518056,0.003083225166012793,0.9901033195448194,0.9969167748339872,0.9934983655830852
62bdb0f5-affe-4b31-8b27-f5e96899f37f,0.019265409548427006,0.019266911744529214,0.02,pamld_ap,multiplex,1364898,13663,4123,1369021,1378561,0.009911059430812275,0.003011641165475183,0.9900889405691877,0.9969883588345249,0.9935266718154363
62bdb0f5-affe-4b31-8b27-f5e96899f37f,0.019265409548427006,0.019266911744529214,0.02,pamld_u,multiplex,1355432,14374,13589,1369021,1369806,0.010493456737669422,0.00992607125822029,0.9895065432623306,0.9900739287417797,0.9897901546903107
b37d56c6-488a-4121-abf6-8b8a2bf82668,0.023206596030835868,0.02319386749805251,0.025,deml,multiplex,1329786,14516,39235,1369021,1344302,0.010798168863841606,0.0286591659295219,0.9892018311361583,0.9713408340704781,0.98018997369646
b37d56c6-488a-4121-abf6-8b8a2bf82668,0.023206596030835868,0.02319386749805251,0.025,mdd,multiplex,1368788,451362,233,1369021,1820150,0.24798066093453836,0.00017019461352309423,0.7520193390654616,0.9998298053864769,0.8583973703511039
