ssid,bin,count,rate,expected,requested,tool,classifier,TP,FP,FN,TP_FN,TP_FP,FDR,MR,precision,recall,fscore
ce333fb9-5e8d-4b14-a5ee-7101afe2cfa6,0,22,0.001001851483497498,0.0010005376054258012,0.001,deml,multiplex,160950,156,18,160968,161106,0.0009683065807604931,0.00011182346801848814,0.9990316934192395,0.9998881765319815,0.9994597514856834
ce333fb9-5e8d-4b14-a5ee-7101afe2cfa6,0,22,0.001001851483497498,0.0010005376054258012,0.001,mdd,multiplex,160703,63,265,160968,160766,0.0003918739036861028,0.001646289945827742,0.9996081260963139,0.9983537100541723,0.9989805242840358
ce333fb9-5e8d-4b14-a5ee-7101afe2cfa6,0,22,0.001001851483497498,0.0010005376054258012,0.001,pamld,multiplex,160937,8,31,160968,160945,4.970642144832086e-05,0.00019258486158739625,0.9999502935785517,0.9998074151384126,0.9998788492543016
ce333fb9-5e8d-4b14-a5ee-7101afe2cfa6,0,22,0.001001851483497498,0.0010005376054258012,0.001,pamld_ap,multiplex,160936,8,32,160968,160944,4.970673029128144e-05,0.00019879727647731225,0.9999502932697087,0.9998012027235227,0.9998757424389274
ce333fb9-5e8d-4b14-a5ee-7101afe2cfa6,0,22,0.001001851483497498,0.0010005376054258012,0.001,pamld_u,multiplex,160952,59,16,160968,161011,0.00036643459142543056,9.939863823865613e-05,0.9996335654085746,0.9999006013617614,0.9997670655539649
b3b1b9af-9a6c-43dd-b5ab-be35bbee9c7f,0,22,0.0010195846534589079,0.0010154784442797933,0,deml,multiplex,160946,170,22,160968,161116,0.0010551403957397155,0.00013667312757815217,0.9989448596042603,0.9998633268724219,0.9994038822170614
b3b1b9af-9a6c-43dd-b5ab-be35bbee9c7f,0,22,0.0010195846534589079,0.0010154784442797933,0,mdd,multiplex,160700,62,268,160968,160762,0.0003856632786354984,0.0016649271904974903,0.9996143367213645,0.9983350728095025,0.9989742952164858
b3b1b9af-9a6c-43dd-b5ab-be35bbee9c7f,0,22,0.0010195846534589079,0.0010154784442797933,0,pamld,multiplex,160943,9,25,160968,160952,5.591729211193399e-05,0.0001553103722479002,0.999944082707888,0.9998446896277521,0.9998943836978131
b3b1b9af-9a6c-43dd-b5ab-be35bbee9c7f,0,22,0.0010195846534589079,0.0010154784442797933,0,pamld_ap,multiplex,160943,9,25,160968,160952,5.591729211193399e-05,0.0001553103722479002,0.999944082707888,0.9998446896277521,0.9998943836978131
b3b1b9af-9a6c-43dd-b5ab-be35bbee9c7f,0,22,0.0010195846534589079,0.0010154784442797933,0,pamld_u,multiplex,160955,63,13,160968,161018,0.00039126060440447655,8.07613935689081e-05,0.9996087393955955,0.9999192386064311,0.9997639648928834
40a08990-33b3-41f5-b061-2561bc84ca96,0,22,0.0015086547052242097,0.0015048144038075785,0.0015,deml,multiplex,160914,243,54,160968,161157,0.0015078463858225208,0.0003354704040554644,0.9984921536141774,0.9996645295959445,0.9990779976717112
