SampleNumber	Tile	NumberOfReadsRaw	NumberOfReadsPF
4	2209	8183808	3005409
4	2210	8183808	3001814
4	2211	8183808	2997196
4	2212	8183808	3007784
4	2213	8183808	3010048
4	2214	8183808	2992526
4	2215	8183808	3018361
4	2216	8183808	3004738
4	2217	8183808	3024215
4	2218	8183808	3034281
4	2219	8183808	3046495
4	2220	8183808	3040152
4	2221	8183808	3046967
4	2222	8183808	3047536
4	2223	8183808	3036686
4	2224	8183808	3035865
4	2225	8183808	3041920
4	2226	8183808	3042909
4	2227	8183808	3034239
4	2228	8183808	3032372
4	2229	8183808	3030972
4	2230	8183808	3030477
4	2231	8183808	3030316
4	2232	8183808	3038404
4	2233	8183808	3039609
4	2234	8183808	3026311
4	2235	8183808	3029826
4	2236	8183808	3022950
4	2237	8183808	3037091
4	2238	8183808	3049412
4	2239	8183808	3045216
4	2240	8183808	3023074
4	2241	8183808	3024270
4	2242	8183808	3037283
4	2243	8183808	3051169
4	2244	8183808	3031331
4	2245	8183808	3032890
4	2246	8183808	3034488
4	2247	8183808	3031921
4	2248	8183808	3029883
4	2249	8183808	3024409
4	2250	8183808	3024268
4	2251	8183808	3029085
4	2252	8183808	3009167
4	2253	8183808	3011724
4	2254	8183808	3006768
4	2255	8183808	3001709
4	2256	8183808	3003205
4	2257	8183808	2995104
4	2258	8183808	3021694
4	2259	8183808	3017966
4	2260	8183808	3017553
4	2261	8183808	3007486
4	2262	8183808	3009298
4	2263	8183808	3009285
4	2264	8183808	3013783
4	2265	8183808	3009452
4	2266	8183808	3006260
4	2267	8183808	3006092
4	2268	8183808	3001586
4	2269	8183808	2984468
4	2270	8183808	3005017
4	2271	8183808	2992490
4	2272	8183808	2988368
4	2273	8183808	2985035
4	2274	8183808	2979387
4	2275	8183808	2983578
4	2276	8183808	2978047
4	2277	8183808	2981134
4	2278	8183808	2974533
4	2301	8183808	3056316
4	2302	8183808	3070416
4	2303	8183808	3049867
4	2304	8183808	3058713
4	2305	8183808	3059322
4	2306	8183808	3044838
4	2307	8183808	3046361
4	2308	8183808	3046431
4	2309	8183808	3045154
4	2310	8183808	3045778
4	2311	8183808	3040689
4	2312	8183808	3055844
4	2313	8183808	3042867
4	2314	8183808	3054148
4	2315	8183808	3060329
4	2316	8183808	3057026
4	2317	8183808	3054700
4	2318	8183808	3073225
4	2319	8183808	3082858
4	2320	8183808	3087295
4	2321	8183808	3086457
4	2322	8183808	3089487
4	2323	8183808	3101533
4	2324	8183808	3085888
4	2325	8183808	3089351
4	2326	8183808	3096447
4	2327	8183808	3075458
4	2328	8183808	3078253
4	2329	8183808	3081892
4	2330	8183808	3083087
4	2331	8183808	3076768
4	2332	8183808	3087242
4	2333	8183808	3097808
4	2334	8183808	3083207
4	2335	8183808	3077000
4	2336	8183808	3074761
4	2337	8183808	3092710
4	2338	8183808	3092013
4	2339	8183808	3100954
4	2340	8183808	3075225
4	2341	8183808	3072732
4	2342	8183808	3068161
4	2343	8183808	3073409
4	2344	8183808	3070566
4	2345	8183808	3075108
4	2346	8183808	3062134
4	2347	8183808	3055068
4	2348	8183808	3078696
4	2349	8183808	3073098
4	2350	8183808	3067227
4	2351	8183808	3060158
4	2352	8183808	3065695
4	2353	8183808	3055481
4	2354	8183808	3059724
4	2355	8183808	3064635
4	2356	8183808	3059893
4	2357	8183808	3046706
4	2358	8183808	3055672
4	2359	8183808	3057196
4	2360	8183808	3061556
4	2361	8183808	3046813
4	2362	8183808	3050015
4	2363	8183808	3058229
4	2364	8183808	3030293
4	2365	8183808	3036949
4	2366	8183808	3041577
4	2367	8183808	3032379
4	2368	8183808	3035092
4	2369	8183808	3040775
4	2370	8183808	3022753
4	2371	8183808	3005459
4	2372	8183808	3011207
4	2373	8183808	3025875
4	2374	8183808	3015968
4	2375	8183808	3016065
4	2376	8183808	3016320
4	2377	8183808	3011655
4	2378	8183808	3011973
4	2401	8183808	3058899
4	2402	8183808	3022834
4	2403	8183808	3049181
4	2404	8183808	3056483
4	2405	8183808	3048272
4	2406	8183808	3049900
4	2407	8183808	3058355
4	2408	8183808	3047941
4	2409	8183808	3055759
4	2410	8183808	3057621
4	2411	8183808	3057729
4	2412	8183808	3065714
4	2413	8183808	3057443
4	2414	8183808	3052048
4	2415	8183808	3058541
4	2416	8183808	3073296
4	2417	8183808	3081757
4	2418	8183808	3086627
4	2419	8183808	3098210
4	2420	8183808	3111799
4	2421	8183808	3103798
4	2422	8183808	3095832
4	2423	8183808	3109839
4	2424	8183808	3107190
4	2425	8183808	3103104
4	2426	8183808	3094851
4	2427	8183808	3105778
4	2428	8183808	3104738
